uid,local_model_dir,commit,commit_date,eval_date,params,accuracy,evaluate,pareto,reward,vali_evaluated,hf_account,flops,score
7,cache/models--summertime0--nashk4/snapshots/2b8432e7ff42324f3b3198f18518594400dd2e6f/model.pt,2b8432e7ff42324f3b3198f18518594400dd2e6f,2024-07-15 05:54:18+00:00,2024-07-15 23:00:58,22000.0,80.0,True,False,False,True,summertime0/nashk4,32.0,0.0
24,/root/NASChain/cache/models--net31--naschainv24/snapshots/7aba3a67149e8e720011671167c6a0814b8380ed/model.pt,7aba3a67149e8e720011671167c6a0814b8380ed,2024-08-11 15:20:15+00:00,2024-08-11 16:06:29,13000.0,80.0,True,True,True,True,net31/naschainv24,8.0,0.018373053337822617
40,/root/mainnet/NASChain/cache/models--clinton07021996--naschainv40/snapshots/ddc9ade81ef723505ad8f8097c21e9056ade6556/model.pt,ddc9ade81ef723505ad8f8097c21e9056ade6556,2024-07-19 09:20:00+00:00,2024-07-19 09:46:23,46000.0,88.0,True,True,True,True,clinton07021996/naschainv40,47.0,0.0315895333550392
62,cache/models--albacore--naschain/snapshots/4b7e55ec6196d63013f730645163e18fcc72ebbf/model.pt,4b7e55ec6196d63013f730645163e18fcc72ebbf,2024-06-29 03:42:22+00:00,2024-07-15 23:02:41,1071000.0,82.0,True,False,False,False,albacore/naschain,13.0,0.0
78,/root/mainnet/NASChain/cache/models--rzrbetterthenjeep--naschain/snapshots/e58ff01f37a5408769fafc68a859ad9b1629e5a0/model.pt,e58ff01f37a5408769fafc68a859ad9b1629e5a0,2024-07-19 13:00:10+00:00,2024-07-19 13:37:17,35000.0,86.0,True,False,False,True,rzrbetterthenjeep/naschain,20.0,0.0
80,/root/mainnet/NASChain/cache/models--clinton07021996--naschainv80/snapshots/5d05489c5324b9efe7691a547d661e874257aa04/model.pt,5d05489c5324b9efe7691a547d661e874257aa04,2024-07-30 05:03:02+00:00,2024-07-30 06:02:54,22000.0,84.0,True,False,False,True,clinton07021996/naschainv80,18.0,0.0
92,/root/mainnet/NASChain/cache/models--otis06081996--naschainv92/snapshots/62224af25f66354eb22072d778295e014a8bcfe4/model.pt,62224af25f66354eb22072d778295e014a8bcfe4,2024-07-05 21:38:53+00:00,2024-07-28 14:41:19,233000.0,91.0,True,False,False,True,otis06081996/naschainv92,204.0,0.0
97,/root/NASChain/cache/models--veronica08041991--naschainv97/snapshots/623d08d2ffbfddb0859995073b40334e6c80eec3/model.pt,623d08d2ffbfddb0859995073b40334e6c80eec3,2024-08-08 09:44:42+00:00,2024-08-08 10:39:14,136000.0,86.0,True,True,True,True,veronica08041991/naschainv97,15.0,0.02737723104759577
108,cache/models--geordion3--naschain/snapshots/2b7f32427eb1022c8fcd67d06a2cc24fe783eae9/model.pt,2b7f32427eb1022c8fcd67d06a2cc24fe783eae9,2024-07-01 01:34:24+00:00,2024-07-15 23:03:57,21000.0,56.0,True,False,False,False,geordion3/naschain,0.0,0.0
109,/root/mainnet/NASChain/cache/models--geordion4--naschain/snapshots/b7b6469d0a92991a5d0ea53274b0adeaa0b1247d/model.pt,b7b6469d0a92991a5d0ea53274b0adeaa0b1247d,2024-07-21 20:28:37+00:00,2024-07-21 20:30:22,161000.0,90.0,True,False,False,True,geordion4/naschain,155.0,0.0
